,keyword,occurence
0,ability,581
1,access,171
2,activities,28
3,alternative,0
4,asset,150
5,assets,150
6,attributes,0
7,automated,68
8,bank,1356
9,banking,984
10,banks,16
11,based,488
12,benefits,379
13,business,330
14,capabilities,164
15,capital,8067
16,card,538
17,contract,0
18,control,24
19,cost,0
20,costs,0
21,credit,72
22,customer,1923
23,customers,1269
24,data,18095
25,digital,28
26,directly,16
27,ecosystem,24
28,entities,150
29,equity,0
30,experience,2947
31,financial,261
32,firms,0
33,focus,52
34,funding,0
35,future,79
36,global,0
37,high,220
38,identity,558
39,impact,127
40,improve,259
41,increase,4
42,incumbents,0
43,individual,36
44,industry,171
45,infrastructure,156
46,institutions,0
47,insurance,0
48,intermediaries,0
49,investment,0
50,investors,0
51,key,3023
52,large,44
53,management,532
54,market,91
55,markets,0
56,mobile,278
57,models,12
58,number,8
59,offer,20
60,online,4
61,opportunities,435
62,payment,20
63,payments,8
64,platform,294
65,platforms,120
66,potential,4
67,process,452
68,processes,72
69,product,1270
70,products,591
71,provide,1029
72,providers,12
73,real,444
74,regulators,0
75,regulatory,0
76,required,2049
77,risk,162
78,role,585
79,scale,111
80,service,1460
81,services,1009
82,set,1035
83,shift,91
84,smart,52
85,solutions,575
86,state,4014
87,system,428
88,systems,324
89,technology,1704
90,time,1067
91,trade,225
92,trading,0
93,traditional,68
94,transaction,0
95,transactions,0
96,transfer,0
97,user,263
98,users,80
99,wealth,0
